S_final T_final U_final q1 q2 q3
1.285091389247250808e-06 9.926698251197598259e-07 6.427607780404717897e-09 -4.238713927332497106e-04 -3.127883485170741551e-01 -3.132122199098074100e-01
1.283206253986139660e-06 9.942070620770763354e-07 6.437522357511490907e-09 -2.811940995583201569e-04 -8.254356244980520785e-02 -8.282475654936352627e-02
1.284131367382940082e-06 9.935694662415702935e-07 6.433357985857532993e-09 -2.652378602220513415e-04 3.431032642627709350e-01 3.428380264025489010e-01
1.285903720205874311e-06 9.922787553943312377e-07 6.424961956798860406e-09 -3.125902742862219502e-04 -1.468785095401230478e-01 -1.471910998144092819e-01
1.288103892467204881e-06 9.906624523848558308e-07 6.414457944119433194e-09 -2.955349808609984003e-04 -1.566965319848865335e-01 -1.569920669657475232e-01
1.290380249500315040e-06 9.889932704466920566e-07 6.403611703563307240e-09 -3.099828431861132577e-04 1.699023206091432314e-02 1.668024921772821162e-02
1.291319859547212258e-06 9.883518916362585491e-07 6.399422966862982470e-09 -3.746929761188014935e-04 1.984513975509010208e-01 1.980767045747822142e-01
1.287489648073379619e-06 9.913709826380253751e-07 6.418931217690093525e-09 -4.593274465332104067e-04 2.398953869214466295e-01 2.394360594749134208e-01
1.276216947283322057e-06 1.000208124544237097e-06 6.476101666402092929e-09 -4.353071980713347361e-04 1.093720507483464388e-01 1.089367435502751058e-01
1.258539818999659728e-06 1.014339939016523395e-06 6.567539574619619048e-09 -4.331929819508337914e-04 1.584061682320410114e-01 1.579729752500901863e-01
1.237667766314830487e-06 1.031531149613135610e-06 6.678777283228384446e-09 -3.405668472038752420e-04 -2.124031960375027950e-02 -2.158088645095415647e-02
1.217033545007514434e-06 1.049106897236278963e-06 6.792503806204511206e-09 -3.589543330764811968e-04 -1.444511192314443804e-01 -1.448100735645208581e-01
1.199249117830814035e-06 1.064751826232255489e-06 6.893734184313002788e-09 -2.394386629730876903e-04 -4.907585853672991050e-02 -4.931529719970299819e-02
1.186495553699427138e-06 1.076283578859053942e-06 6.968342325217933415e-09 -1.483233497327745426e-04 -1.678998699035272324e-01 -1.680481932532600087e-01
1.180422613083045155e-06 1.081906968678777520e-06 7.004705100688860286e-09 1.444048017356334979e-04 -1.679362542071096698e-01 -1.677918494053740328e-01
1.181585097218162954e-06 1.080534560232799884e-06 6.995778416010433876e-09 2.673639075870728327e-04 -3.129726599138447085e-01 -3.127052960062576270e-01
1.188826713207405519e-06 1.071767863852866726e-06 6.938989323168441420e-09 4.034559015508813046e-04 -1.066437405286233542e-01 -1.062402846270724677e-01
1.202346004015271077e-06 1.056620158722945835e-06 6.840910058662026223e-09 4.770110827030157180e-04 -1.689600640018209532e-01 -1.684830529191179427e-01
1.221637453697550582e-06 1.037277751158489899e-06 6.715691047840173851e-09 4.974330098343540674e-04 -5.872906304873026784e-03 -5.375473295038672716e-03
1.245192670937084242e-06 1.016489363746029970e-06 6.581113004208164691e-09 4.118485976151373129e-04 -5.487309298308318262e-02 -5.446124438546804530e-02
1.269136936215619645e-06 9.971970847760462586e-07 6.458515637119993435e-09 2.989636893586545413e-04 1.890182464304448473e-01 1.893172101198035140e-01
