S T U q1 q2 q3 WinSize
7.236499758804992429e-06 1.006785036292641383e-06 1.000026525067542397e-08 -2.706506319394871157e-02 5.543830086367247389e-01 5.273179454427759927e-01 6.000000000000000000e+00
7.283194725864191530e-06 1.006918340193330486e-06 1.000000000000000021e-08 -2.853244869728792377e-02 6.757514572760818794e-01 6.472190085787939973e-01 6.000000000000000000e+00
7.220093521958074965e-06 1.007277837240206943e-06 1.000000000000000021e-08 -2.945454234730915388e-02 8.386693522667378886e-01 8.092148099194287347e-01 6.000000000000000000e+00
7.044555897657670119e-06 1.007439801727350520e-06 1.000000000000000021e-08 -2.977428361042916416e-02 5.258809716006407342e-01 4.961066879902115700e-01 6.000000000000000000e+00
6.786133785463578774e-06 1.007854456174196011e-06 1.000000000000000021e-08 -2.966315551184806748e-02 3.634454210968645071e-01 3.337822655850164466e-01 6.000000000000000000e+00
6.483520627884069697e-06 1.008047761216739275e-06 1.000000000000000021e-08 -2.828916888373114030e-02 -2.846930557865743339e-01 -3.129822246703054534e-01 6.000000000000000000e+00
6.194628527484982041e-06 1.008239363675566903e-06 1.000000000000000021e-08 -2.721800993804370655e-02 -1.355596494638202643e-01 -1.627776594018639778e-01 6.000000000000000000e+00
5.948057380469085832e-06 1.008404152227979742e-06 1.000028899471509147e-08 -2.565144938201915914e-02 -2.045576326466900241e-01 -2.302090820287091832e-01 6.000000000000000000e+00
5.784895484259580455e-06 1.008559999523661837e-06 1.000048874732434501e-08 -2.469836981718551844e-02 -5.802818076167888250e-01 -6.049801774339743643e-01 6.000000000000000000e+00
5.709085866774476399e-06 1.008705887771812656e-06 1.000058955928113393e-08 -2.414402628872866496e-02 -6.911341735938272279e-01 -7.152781998825559207e-01 6.000000000000000000e+00
5.727275159281479622e-06 1.008849356608885694e-06 1.000043337902456022e-08 -2.399492717475232989e-02 -4.146240036953514618e-01 -4.386189308701037848e-01 6.000000000000000000e+00
5.805861752693953691e-06 1.008996422155452079e-06 1.000029775857730378e-08 -2.417594428385865662e-02 -1.280765259554321744e-01 -1.522524702392908380e-01 6.000000000000000000e+00
5.924933228331444475e-06 1.009111430622171283e-06 1.000001636897274356e-08 -2.475139754373619633e-02 3.099506051615534830e-01 2.851992076178173074e-01 6.000000000000000000e+00
6.035744074978965187e-06 1.009227154564586255e-06 1.000000000000000021e-08 -2.545368951316472061e-02 5.450129429387455815e-01 5.195592534255808470e-01 6.000000000000000000e+00
