S T U q1 q2 q3 WinSize
2.387848163154427385e-06 1.026350553068575493e-06 6.452625058693428720e-09 -5.015035813610672910e-04 4.609071077494064639e-01 4.604056041680453792e-01 5.000000000000000000e+00
2.383075871061790133e-06 1.028406127076021275e-06 6.465544509917758414e-09 -6.563956746565326184e-04 2.526354394367427147e-01 2.519790437620861856e-01 5.000000000000000000e+00
2.373543715857906402e-06 1.032536212136833861e-06 6.491509462924871072e-09 -6.658885184159801796e-04 -3.497279677877873638e-01 -3.503938563062033440e-01 5.000000000000000000e+00
2.361081753825774878e-06 1.037985919693606176e-06 6.525771974789480575e-09 -5.302815510231928542e-04 -4.726365301790487194e-01 -4.731668117300719123e-01 5.000000000000000000e+00
2.351095220499852619e-06 1.042394889498671966e-06 6.553490185213138984e-09 -3.026520042293118218e-04 -6.551824344744883177e-01 -6.554850864787176157e-01 5.000000000000000000e+00
2.342862031412886275e-06 1.046058065940924280e-06 6.576519466503333293e-09 -4.749272337824586576e-05 -3.615458972504388413e-01 -3.615933899738170698e-01 5.000000000000000000e+00
2.335802568153081025e-06 1.049219814773885016e-06 6.596392879661177530e-09 -2.757831469012497760e-05 1.714534580152573540e-01 1.714258797005672186e-01 5.000000000000000000e+00
2.328053449816136371e-06 1.052712455667419895e-06 6.618347060778270803e-09 -1.247012314537603028e-04 -1.844556826528886972e-01 -1.845803838843424471e-01 5.000000000000000000e+00
2.323125521501059352e-06 1.054946389948766776e-06 6.632377629619190234e-09 -1.025113391028738274e-04 -8.727447701760837617e-02 -8.737698835671124653e-02 5.000000000000000000e+00
2.315727332599443266e-06 1.058316840561622220e-06 6.653564615852133663e-09 -1.399939914512836336e-04 2.268173056743574278e-01 2.266773116829061407e-01 5.000000000000000000e+00
2.306458728624571244e-06 1.062569733998495570e-06 6.680301810561836972e-09 -2.670730126466819288e-04 5.453632878979615128e-01 5.450962148853147893e-01 5.000000000000000000e+00
2.293773797648883659e-06 1.068445882990614567e-06 6.717244538985545095e-09 -4.258234215515389887e-04 6.697268511867218166e-01 6.693010277651703088e-01 5.000000000000000000e+00
2.275227258480217526e-06 1.077155222436249944e-06 6.772000209059743889e-09 -3.868904841675471773e-04 5.436362002741361721e-01 5.432493097899686596e-01 5.000000000000000000e+00
2.258990843687222203e-06 1.084897167219424494e-06 6.820673745807024512e-09 -3.753588391475388975e-04 4.299998809137424161e-01 4.296245220745948945e-01 5.000000000000000000e+00
2.241875942802567375e-06 1.093179418175862309e-06 6.872744094339969564e-09 -1.950136912678979151e-04 2.554532699396361295e-02 2.535031330269571503e-02 5.000000000000000000e+00
2.226278223799660155e-06 1.100834378171149245e-06 6.920907780191323023e-09 -2.117706396289435744e-04 -3.445471107696498336e-01 -3.447588814092787945e-01 5.000000000000000000e+00
2.211594892860523883e-06 1.108143068682527483e-06 6.966857503340373379e-09 2.277724732200128721e-05 -4.514546605110307809e-01 -4.514318832637087553e-01 5.000000000000000000e+00
2.201687332542851372e-06 1.113129671623159108e-06 6.998208391370548561e-09 2.048931653372901285e-04 -7.277273698307809013e-01 -7.275224766654435626e-01 5.000000000000000000e+00
2.197591858535316184e-06 1.115204086094106769e-06 7.011250569656241951e-09 7.577693652700591420e-04 -8.132728082076994269e-01 -8.125150388424293713e-01 5.000000000000000000e+00
