S T U Misfit
1.625879232584460883e-05 8.077569860493121574e-04 7.422894933361531501e-07 1.405756744599220287e-01
2.352050434766442635e-05 1.145286268288171110e-03 1.768082407657135450e-06 5.315250186676022392e-13
2.879362995452368229e-05 1.387771169259652618e-03 1.929824798773512280e-06 1.976124499602772398e-12
3.214810947281180166e-05 1.535140262070570916e-03 1.932909140136783822e-06 9.063340021631977874e-14
3.469678548702208635e-05 1.587447726109353493e-03 1.777550910110633883e-06 1.294064692286420556e-16
3.469566486311702759e-05 1.544608842438216891e-03 1.463404922943656856e-06 2.796000553638394102e-14
3.272818369883554406e-05 1.406552460944399119e-03 1.009179134651406158e-06 1.327835178079591338e-01
2.893348292447475131e-05 1.173489559344079516e-03 -3.174141822443814041e-07 3.065193308904689136e-13
1.552906794799913210e-05 1.920651334403339762e-04 8.755749025657963487e-07 2.743653936556585848e-13
7.503632788541196846e-06 3.116234739355394352e-04 1.205277707484147989e-06 4.944055557248289362e-14
9.040057252678680494e-06 2.543142371223409189e-04 1.377560656418700409e-06 5.120996466854046572e-12
6.786184137221188977e-06 1.803012882342419962e-05 1.392367985865677006e-06 1.128426380960239101e-15
7.830023727525469367e-06 9.780840130666076330e-04 1.249533436705925533e-06 2.522457630966152633e-13
2.711547283471068962e-05 1.231790169639028487e-03 9.488442167454095462e-07 1.166005823289739914e-11
2.860998034842118624e-05 1.361502030969195852e-03 1.516954478195420539e-06 1.298176648152996049e-01
4.096993470168099088e-05 1.410977268161605225e-03 1.471502437283959604e-06 1.005264098480937237e-16
4.954427772569240424e-05 1.375112989993828184e-03 1.335701839084045974e-06 5.080829112667459002e-12
5.413767550862599859e-05 1.253895689259405507e-03 1.109496093178968576e-06 1.017616929321428552e-14
5.530357413399853100e-05 1.047349655970611533e-03 7.930032239985636595e-07 7.152190455367253795e-13
5.265881862091379600e-05 7.555152154634614233e-04 2.734457037449094474e-07 2.200917734764021145e-13
4.620340896937177324e-05 3.782252516873912973e-04 -1.299245656793929549e-07 2.010834555278267588e-08
3.603367351573200165e-05 -8.440298618027765407e-05 -6.381351386225917294e-07 4.297000580341969853e-11
2.201047132969737247e-05 -6.325096009474861754e-04 1.324312920537538791e-07 9.494970985624774251e-15
1.925962170718966622e-05 1.493309163959665177e-05 1.828109387679158564e-07 1.933035054911140788e-14
1.932010085851496156e-05 9.949759890793341213e-06 -4.864404442316698401e-07 1.175131051875590248e-13
1.064225110772682324e-05 2.273257388391198265e-06 1.231166011702093237e-07 2.966982987538612082e-13
1.755718414770386701e-08 -6.884312540587302633e-06 6.278138316335994200e-07 1.303244300294314206e-01
2.223453364673990676e-06 4.129708266164655531e-07 1.027390051510612335e-06 8.826736853110929487e-16
-4.087950885806539798e-06 -1.742728958983731009e-06 1.322251121253121888e-06 8.655627639516407632e-13
3.268952202131642896e-06 8.270933028245276428e-07 1.512143086627640943e-06 8.187371197912484064e-15
3.131523051336324889e-06 8.508587884892665404e-07 1.597244995351960389e-06 2.862088881182467585e-12
2.968928571390638944e-06 8.902944752528922152e-07 1.577478997583799965e-06 1.460382627274028067e-01
3.164323743190826121e-06 9.605024491881387706e-07 1.452915764547851278e-06 2.033594882534599588e-12
3.164262483220094623e-06 1.035523923559648155e-06 1.223425513557429120e-06 2.238334595988302514e-13
3.164078703307900130e-06 1.004676919532515123e-06 1.110059993023822805e-06 6.448973457281331818e-14
3.152348497612380609e-06 1.035669641361590295e-06 7.935425425127781360e-07 4.722964022582284699e-15
3.161439599352146423e-06 1.070848128876951073e-06 3.865599990856529095e-07 9.584404211286966938e-09
3.168943577837388899e-06 1.114229175182549699e-06 -1.108772843513673639e-07 1.254192103139962389e-13
3.174860433068109732e-06 1.166485435851504192e-06 -6.987695049355726696e-07 8.660861975455276600e-15
3.179190165044308920e-06 1.093738203692188540e-06 6.610553970722511857e-09 1.586890576216208089e-15
2.912282214528171749e-06 1.075472449078300597e-06 6.505135041408037145e-09 9.415993749633548378e-13
3.140750048116257097e-06 1.157079549999289595e-06 -6.989109754387149903e-07 2.779808823167424069e-16
3.313524184043170911e-06 1.106276069541143315e-06 -1.110669434374751560e-07 5.171087521136374479e-14
3.485622805358963839e-06 1.073571337824620750e-06 3.863899555706405411e-07 1.121012755398098569e-13
3.618956400721293254e-06 1.061824274811426336e-06 7.934776194520834281e-07 1.738095992759922680e-15
3.650585327394252402e-06 1.048086377280777019e-06 1.110078243967267081e-06 3.982531649928874017e-13
3.758838573129576102e-06 1.033397922861675826e-06 1.336195658888226422e-06 8.262620654630586309e-13
3.820257607945294419e-06 1.013800229759368236e-06 1.471804133367627646e-06 2.077175053738004511e-13
-3.262783982529382929e-06 -2.761904228148066888e-05 1.517101254766379048e-06 1.567658472570363781e-01
2.394104704065981108e-06 -3.812205616417238841e-06 1.471506728637581037e-06 2.224902873396339923e-12
7.530124948568063905e-06 1.634978701663283870e-05 1.335566071972242445e-06 3.581890578297006744e-13
1.167048283098144954e-05 3.290245295134022410e-05 1.047368348977036494e-06 6.020965739404976143e-07
1.482660225714799496e-05 4.569114431506020058e-05 7.820686151716461111e-07 4.427910215685546839e-13
9.708855585339266816e-06 -7.883948545365306081e-05 4.186093308121523613e-07 7.005294738382217446e-14
1.697118780045251383e-05 3.807761786134809134e-05 -1.105650829466795748e-07 9.438519568244876431e-11
2.284732086799932203e-05 1.341929347283245461e-04 -7.208024867344696411e-07 1.040000289519821248e-13
2.656793363067681618e-05 2.092791216481573540e-04 1.395644801706363877e-07 2.023693197888892484e-11
2.844264071416952125e-05 2.636712752593576691e-04 2.646022640442411999e-07 5.683663993453069141e-14
2.841642393542739552e-05 2.972878247832332218e-04 3.596782098759043996e-07 1.572717132272759832e-01
2.649636602776427594e-05 3.101053846905849694e-04 4.246617912938136841e-07 3.475370547557718826e-11
2.284087595982298215e-05 3.021958862471740121e-04 4.039451074378652111e-07 9.297890427260748753e-13
1.724742828631733977e-05 2.734004500469963922e-04 4.552732317068196600e-07 1.476402480804089312e-01
9.778962649983253023e-06 2.238285032961327692e-04 4.694375267375907573e-07 1.453976307904099596e-01
1.435774624824035813e-05 2.095982411860984314e-04 4.460596638305673220e-07 1.063298811275729606e-07
1.131626376048155794e-05 1.496700060444884997e-04 3.857868627005754593e-07 5.790308201209650029e-13
7.113081553511131894e-06 7.269604380913029728e-05 -3.499872665045117836e-07 7.519797831806226291e-14
1.973750232352558350e-06 -2.160998550399263730e-05 1.685816060432428787e-07 1.552761302199234629e-13
-4.101730202994166085e-06 -1.328913786964973094e-04 -1.911151151168390577e-07 1.484901957870933542e-01
-4.442897096159519922e-06 -7.050206047002860422e-04 6.311764813082650526e-07 5.831948131099521878e-14
1.910167845287655012e-06 -1.168935842918237395e-04 1.383242176059832974e-06 5.725474396663745087e-10
7.283648455694591723e-06 3.807252742051057764e-04 2.082752534306521073e-06 1.216392315114069563e-13
1.039922250376898002e-05 7.878781020784576599e-04 2.496960721260564389e-06 3.266557515842559656e-13
7.262224645937630788e-06 4.413124346914203567e-04 2.732307673144963193e-06 1.340017038986903442e-01
1.694548193394609028e-05 1.220410568480055679e-03 2.787856603211481512e-06 5.067965518598136476e-14
2.453297948132990408e-05 1.823990142468382954e-03 2.663980551323977499e-06 1.354737299613754109e-01
2.998976684942819963e-05 2.251939565383184825e-03 2.469882100754163123e-06 6.490475920217459421e-15
3.332817948718012018e-05 2.504412776101605422e-03 2.047791585918691062e-06 1.395459740986555016e-13
3.454821571696025382e-05 2.581356578273713998e-03 1.453394274381346209e-06 4.338582809314364575e-11
3.359532330024984535e-05 2.482768295151986399e-03 6.866987689883969286e-07 1.727458431359104028e-13
3.062407708972922317e-05 2.208670314512122326e-03 -2.521853790285946706e-07 3.358736102428392863e-14
2.552458713694124703e-05 1.758920926298136256e-03 -1.112350300829642098e-07 2.914244641584545528e-14
1.830499732224160291e-05 1.133779968349489476e-03 -1.392069169544982534e-06 1.730555490729195849e-14
8.959669574614822162e-06 3.328511433134894414e-04 -1.089704103753624461e-07 5.053838199312810590e-13
1.228733141897164538e-05 7.409214357057121404e-04 3.795033729201292764e-07 3.222796981932896373e-10
7.117017563259383591e-06 3.581544026326737430e-04 7.793795844481849926e-07 1.038175558657018625e-13
3.411819861340233693e-07 -1.096780035675804649e-04 1.090311847241083844e-06 3.536019535403394947e-09
-4.218530570965487189e-06 -6.624082644902883586e-04 1.312952572141241129e-06 1.398306629293789089e-14
3.342972829724737081e-06 9.267913309166864350e-07 1.446071632199533032e-06 8.600139503973562832e-15
4.058436446022778664e-06 9.524224898618991469e-07 1.490648614763391963e-06 1.399392329009624125e-01
4.620396632415860473e-06 1.039232204413636969e-06 1.017505101876742814e-06 3.617022125026115875e-14
5.023126220056202390e-06 1.006699020365962782e-06 1.241590522004417730e-06 1.376507839376194386e-13
5.282852187345853028e-06 9.829667576911739702e-07 1.321793104200710773e-06 7.420504073598830022e-13
5.388343763040914417e-06 9.695721496927044767e-07 1.258127896091664471e-06 4.512579484055365828e-13
-1.675111137876413891e-06 -2.552481538438289010e-06 1.050747660375473867e-06 2.399463251662655576e-14
4.116126099031558949e-06 4.075385712219717199e-07 6.993171411760210133e-07 1.923032853699204310e-14
8.625936766781732248e-06 2.917705478664704658e-06 2.039981270333785596e-07 4.984189835252774335e-13
1.248872103437577370e-05 4.878382956250547437e-06 9.244686409685216742e-07 1.441650585787548899e-01
