S T U q1 q2
9.569190045978479583e-05 1.197472520707886846e-05 8.202938236891430674e-09 -6.259605989881178445e-03 -8.148807754727016572e-02
9.645515867246908198e-05 1.223003375384134570e-05 8.182912542061222383e-09 -4.651585335008867617e-03 -2.426364672896941244e-01
9.728060554843212082e-05 1.241353558238261869e-05 8.169380993908196200e-09 5.515354350130952099e-03 -1.006781593762102744e-01
9.805611296664422892e-05 1.254390512105343139e-05 8.139141722306991311e-09 5.308352741028254940e-03 -2.992161947752141060e-01
9.868917385804584243e-05 1.264541392865935565e-05 8.077607734040317179e-09 4.416951895950038676e-03 -2.850412435935982813e-01
9.911106761138225240e-05 1.274008664787486450e-05 7.981843777946491145e-09 8.630564909809290697e-03 2.991320518426654473e-02
9.926799428849379333e-05 1.284161556939760578e-05 7.859029308257188692e-09 7.175194611981794424e-03 1.954990887072831640e-01
9.911905820000802925e-05 1.295253937537379085e-05 7.722349730537121201e-09 3.795776296049435672e-03 -5.580193725501381152e-02
9.864573885681829921e-05 1.306620518512578186e-05 7.588306834952035409e-09 9.583568305697731660e-03 2.694531260480790280e-01
9.787215214190206412e-05 1.317209455109808799e-05 7.475595475466734922e-09 2.738018714629975037e-03 3.440600460525047311e-01
9.688487209512158457e-05 1.326026493341852964e-05 7.402059996187263971e-09 -1.783470625685623645e-03 5.098195865213952516e-01
9.582788632545998181e-05 1.332257822778515723e-05 7.378962808682062881e-09 -5.499724395305660707e-03 2.568524846936970363e-01
9.486165278688461809e-05 1.335266899976919735e-05 7.406472469659424933e-09 -1.142306498223200073e-02 1.927234220641427243e-01
9.410790351547188373e-05 1.334735571319507091e-05 7.474127735352027450e-09 -6.074214992880300201e-03 -3.392029591612395478e-01
9.361572759547943500e-05 1.330877608260026071e-05 7.565292830398203540e-09 -7.666161078978328547e-03 -7.464663499982293615e-02
9.336693168420697061e-05 1.324421073794219335e-05 7.661168107483055227e-09 -1.295926905787725403e-03 -5.568228973399236281e-02
9.330798144049128810e-05 1.316313637751688359e-05 7.742407326232555692e-09 1.723912986402176273e-04 -3.779088872771012575e-01
9.337676506456787256e-05 1.307493948615975999e-05 7.791449386519592476e-09 1.215176579332233331e-03 -4.975882282594579209e-01
9.350582197243368743e-05 1.298961899201827344e-05 7.797792206531932305e-09 2.984781394253399611e-03 -2.936351344762080373e-01
9.361468954461044502e-05 1.291955280830382887e-05 7.762690869174464804e-09 4.990945775792843264e-03 -1.375318752822867197e-01
