S T U q1 q2 q3
5.169843019027871112e-06 9.701745146771335179e-07 5.804976046362307333e-09 -2.097497003135273541e-03 -6.729754609682370159e-02 -6.939504309995897513e-02
5.191851074792626728e-06 9.661827055794217867e-07 5.781010346941096624e-09 -2.364109201271752392e-03 2.291568223451614372e-01 2.267927131438896848e-01
5.198068575385508706e-06 9.651438865354633522e-07 5.774761252812287945e-09 -1.909379304932221078e-03 4.531349665562292017e-01 4.512255872512969668e-01
5.189390280016367349e-06 9.667356312103658933e-07 5.786023128623287662e-09 -9.424847025524957234e-04 -1.150241168725854024e-01 -1.159666015751378981e-01
5.178660344061458384e-06 9.688572666144202731e-07 5.798664322260456027e-09 -3.523203072454822449e-04 8.759070277057112719e-02 8.723838246332564494e-02
5.182248282307182991e-06 9.681722214813929940e-07 5.796211733865201009e-09 1.538856908120250777e-04 -5.755904724494484981e-01 -5.754365867586365146e-01
5.202000904112422678e-06 9.646136665754778542e-07 5.774861538789903716e-09 4.884469509264105502e-04 -3.027156396461112564e-01 -3.022271926951848320e-01
5.233983952343767060e-06 9.588371166953710584e-07 5.740227799342493425e-09 8.338376095470417804e-04 1.991017657224718462e-01 1.999356033320188741e-01
5.250180426308235372e-06 9.559957099649031234e-07 5.723172003420382334e-09 3.069996700209715046e-04 8.341344715997465187e-01 8.344414712697675318e-01
5.237024960094113744e-06 9.585131043325897184e-07 5.738202986151895590e-09 -5.585894365587318333e-04 1.852687701953747990e-02 1.796828758297874806e-02
5.186820275877471928e-06 9.615084675045619984e-07 5.846351149853541194e-09 -1.370484032601017310e-03 4.718951574633480917e-01 4.705246734307470535e-01
5.089149832451575749e-06 9.799845808077178157e-07 5.959670720519701717e-09 -6.714519757634318520e-04 2.136622377361199199e-01 2.129907857603564880e-01
4.956120446624416299e-06 1.006280954486514498e-06 6.120843536773576831e-09 -1.524227974731423574e-04 4.809426150556674884e-01 4.807901922581943599e-01
4.801668610961456480e-06 1.038622411464992689e-06 6.319023150653146085e-09 8.513268016872438393e-04 4.245993891650847729e-01 4.254507159667720306e-01
4.647016206023849336e-06 1.073183372320207870e-06 6.530533335423838512e-09 8.817115181372070509e-04 -6.885418355653296629e-01 -6.876601240471924559e-01
4.524795196619164365e-06 1.102225049744607742e-06 6.707952322839150811e-09 1.264689236942048711e-03 -4.764985511185919620e-01 -4.752338618816498994e-01
4.451027473750285114e-06 1.120614911967952301e-06 6.819875779529902966e-09 1.115849505722341095e-03 -7.913814389080329192e-01 -7.902655894023106198e-01
4.427043562350799938e-06 1.126818490610495082e-06 6.857620180358395148e-09 9.725155158151477242e-04 -3.341688836945824193e-01 -3.331963681787672993e-01
4.439082549296002967e-06 1.123896488820547409e-06 6.839816523536941860e-09 1.043318575577344143e-03 6.103499714392057740e-02 6.207831571949792154e-02
4.462496278290384382e-06 1.118133529561970055e-06 6.804719703287820793e-09 1.580999973833721595e-03 1.647285904515332078e-01 1.663095904253669155e-01
4.486538483375040032e-06 1.112274977935001020e-06 6.769040902312685222e-09 1.385477827833776765e-03 1.242007010630690189e-01 1.255861788909027887e-01
4.505113490839580632e-06 1.107821350473714985e-06 6.741914370267480187e-09 1.351624978641309538e-03 -4.783358179659735754e-02 -4.648195681795604800e-02
4.520453513542717297e-06 1.104193771454669827e-06 6.719816351131333412e-09 9.693720051818649486e-04 -5.719113717958990151e-02 -5.622176517440803656e-02
4.533981138384310810e-06 1.101030576825297531e-06 6.700545547301916976e-09 5.248404525445837798e-04 4.985781599233263250e-02 5.038265644487721628e-02
4.542450388700032231e-06 1.099108585909682577e-06 6.688830115202424895e-09 1.878016539717045075e-04 1.774605023990893926e-01 1.776483040530610902e-01
4.537037210712237836e-06 1.100550781240734565e-06 6.697588949488866390e-09 6.710361505130046922e-05 1.801052927857700325e-01 1.801723964008213330e-01
4.519266865652420832e-06 1.105008741378521506e-06 6.724707245476709217e-09 -3.472483678201507273e-04 2.001529227313039172e-01 1.998056743634837595e-01
4.493023396704546513e-06 1.111593228983396649e-06 6.764773421945110178e-09 -2.937271281829717529e-05 1.749660381353930205e-01 1.749366654225747164e-01
4.467149480305504344e-06 1.118162662921434439e-06 6.804747592576094698e-09 -1.684746604549841598e-04 -5.642524194788780534e-01 -5.644208941393330514e-01
4.449944975090371364e-06 1.122618316456593966e-06 6.831851556259020320e-09 -1.662422690438397632e-05 3.791037132038255208e-02 3.789374709347816811e-02
4.441916864207124080e-06 1.124780838635009973e-06 6.844995071900282848e-09 -3.067569609577699974e-04 1.148630847972196278e-01 1.145563278362618509e-01
4.451553078074987102e-06 1.132809010163772178e-06 6.769424344896170426e-09 8.337327159764762463e-04 -1.113751194141361367e-01 -1.105413866981596605e-01
4.469449555097977376e-06 1.128407754176613817e-06 6.743097909482013716e-09 1.251541681645013115e-03 -2.188328498704681380e-01 -2.175813081888231248e-01
